Team,Phase,Season,Venue,Opponent,Match Result,Player,Role,Runs Scored,Balls Faced,Strike Rate,Economy Rate,Wickets Taken,Dot Ball Percentage,Performance vs Team,Bowling Economy vs Team,Rolling Strike Rate,Rolling Economy Rate,Consistency Score
Kolkata Knight Riders,Powerplay,2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Loss,A Raghuvanshi,Batter,6,6,100,,,50,100,,100,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,Loss,A Raghuvanshi,Batter,10,3,333.33,,,0,333.3333333,,216.665,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Eden Gardens, Kolkata",Lucknow Super Giants,Win,A Raghuvanshi,Batter,7,6,116.67,,,66.67,116.6666667,,183.3333333,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Eden Gardens, Kolkata",Rajasthan Royals,Loss,A Raghuvanshi,Batter,15,7,214.29,,,14.29,214.2857143,,191.0725,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,Loss,A Raghuvanshi,Batter,3,4,75,,,75,75,,167.858,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Loss,A Raghuvanshi,Batter,24,17,141.18,,,41.18,141.1764706,,176.094,,85.11666785
Kolkata Knight Riders,Powerplay,2024,"Wankhede Stadium, Mumbai",Mumbai Indians,Loss,A Raghuvanshi,Batter,13,7,185.71,,,57.14,185.7142857,,146.57,,85.11666785
Kolkata Knight Riders,Powerplay,2022,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Win,A Tomar,Batter,4,8,50,,,87.5,50,,50,,
Kolkata Knight Riders,Powerplay,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Win,AD Russell,Batter,0,1,0,,,100,0,,0,,86.17020189
Kolkata Knight Riders,Powerplay,2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Loss,AD Russell,Batter,23,9,255.56,,,22.22,255.5555556,,127.78,,86.17020189
Kolkata Knight Riders,Powerplay,2019,Arun Jaitley Stadium,Delhi Capitals,Win,AD Russell,Batter,4,3,133.33,,,66.67,133.3333333,,129.63,,86.17020189
Kolkata Knight Riders,Powerplay,2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Win,AD Russell,Batter,14,4,350,,,25,350,,184.7225,,86.17020189
Kolkata Knight Riders,Powerplay,2022,"Brabourne Stadium, Mumbai",Rajasthan Royals,Win,AJ Finch,Batter,23,17,135.29,,,47.06,135.2941176,,135.29,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,Loss,AJ Finch,Batter,7,5,140,,,60,140,,137.645,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,Win,AJ Finch,Batter,14,15,93.33,,,46.67,93.33333333,,122.8733333,,63.77086848
Kolkata Knight Riders,Powerplay,2022,"Wankhede Stadium, Mumbai",Delhi Capitals,Loss,AJ Finch,Batter,3,8,37.5,,,75,37.5,,101.53,,63.77086848
