Player,Team,Phase,Opponent,Venue,Season,Match Result,Role_x,Runs Scored,Balls Faced,Strike Rate,Economy Rate,Wickets Taken,Dot Ball Percentage,Performance vs Team,Bowling Economy vs Team,Rolling Strike Rate,Rolling Economy Rate,Consistency Score,Role_y
A Badoni,Lucknow Super Giants,Death Overs,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Win,Batter,39.0,14.0,278.57,0.0,0.0,14.29,278.5714286,0.0,165.816,0.0,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Chennai Super Kings,"Brabourne Stadium, Mumbai",2022,Win,Batter,19.0,14.0,135.71,0.0,0.0,50.0,135.7142857,0.0,135.71,9.0,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Win,Batter,13.0,11.0,118.18,0.0,0.0,18.18,118.1818182,0.0,117.444,0.0,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Loss,Batter,49.0,26.0,382.35,0.0,0.0,67.97,382.35294120000003,0.0,322.666,0.0,131.62483788,Batter
A Badoni,Lucknow Super Giants,Death Overs,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022,Win,Batter,10.0,3.0,333.33,0.0,0.0,33.33,333.3333333,0.0,234.52,10.33333333,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Loss,Batter,21.0,14.0,295.83000000000004,0.0,0.0,12.5,295.8333333,0.0,324.69,0.0,131.62483788,Batter
A Badoni,Lucknow Super Giants,Death Overs,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023,Win,Batter,21.0,12.0,175.0,0.0,0.0,41.67,175.0,0.0,125.778,0.0,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Gujarat Titans,"Wankhede Stadium, Mumbai",2022,Loss,Batter,19.0,11.0,172.73,0.0,0.0,27.27,172.7272727,0.0,172.324,0.0,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023,Loss,Batter,13.0,7.0,185.71,0.0,0.0,28.57,185.7142857,0.0,173.808,0.0,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022,Loss,Batter,9.0,9.0,100.0,0.0,0.0,22.22,100.0,0.0,164.92,0.0,65.81241894,Batter
A Badoni,Lucknow Super Giants,Death Overs,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Win,Batter,6.0,6.0,100.0,0.0,0.0,50.0,100.0,0.0,147.606,0.0,65.81241894,Batter
